character,pinyin,grade,unit,tts_hint,common_words,image_path
季,jì,2,1,季节的季,"季节,四季,季节风",/static/images/季.png
蝴,hú,2,1,蝴蝶的蝴,"蝴蝶,蝴碟,蝴纹",/static/images/蝴.png
蝶,dié,2,1,蝴蝶的蝶,"蝴蝶,蝴蝶结,蝴蝶效应",/static/images/蝶.png
麦,mài,2,1,麦子的麦,"麦子,麦苗,麦穗",/static/images/麦.png
苗,miáo,2,1,禾苗的苗,"苗苗,禾苗,树苗",/static/images/苗.png
桑,sāng,2,1,桑叶的桑,"桑叶,桑葚,桑蚕",/static/images/桑.png
肥,féi,2,1,肥肉的肥,"肥肉,肥胖,肥美",/static/images/肥.png
农,nóng,2,1,农村的农,"农村,农民,农耕",/static/images/农.png
归,guī,2,1,归来的归,"归,归来,回归",/static/images/归.png
戴,dài,2,1,穿戴的戴,"戴,穿戴,爱戴",/static/images/戴.png
谷,gǔ,2,1,谷粒的谷,"谷粒,山谷,谷仓",/static/images/谷.png
粒,lì,2,1,米粒的粒,"米粒,颗粒,粒度",/static/images/粒.png
虽,suī,2,1,虽然的虽,"虽然,虽是,虽小",/static/images/虽.png
辛,xīn,2,1,辛苦的辛,"辛苦,辛劳,艰辛",/static/images/辛.png
苦,kǔ,2,1,苦恼的苦,"苦,苦恼,苦味",/static/images/苦.png
葡,pú,2,1,葡萄的葡,"葡萄,葡萄酒,葡萄干",/static/images/葡.png
萄,táo,2,1,葡萄的萄,"葡萄,葡萄干,葡萄汁",/static/images/萄.png
紫,zǐ,2,1,紫色的紫,"紫色,紫罗兰,紫菜",/static/images/紫.png
狐,hú,2,1,狐狸的狐,"狐狸,狐狸精,狐狸尾巴",/static/images/狐.png
狸,lí,2,1,狸猫的狸,"狸猫,狐狸,狸猫尾巴",/static/images/狸.png
笨,bèn,2,1,笨拙的笨,"笨拙,笨蛋,笨重",/static/images/笨.png
酸,suān,2,1,酸奶的酸,"酸,酸奶,酸甜",/static/images/酸.png
曹,cáo,2,1,曹操的曹,"曹操,曹操军,曹植",/static/images/曹.png
称,chēng,2,1,称重的称,"称重,称赞,称谓",/static/images/称.png
员,yuán,2,1,队员的员,"队员,员工,成员",/static/images/员.png
根,gēn,2,1,根本的根,"根,根本,根深",/static/images/根.png
柱,zhù,2,1,柱子的柱,"柱子,柱石,支柱",/static/images/柱.png
议,yì,2,1,议论的议,"议论,会议,议论纷纷",/static/images/议.png
论,lùn,2,1,讨论的论,"讨论,论文,议论",/static/images/论.png
重,zhòng,2,1,重要的重,"重要,重量,重复",/static/images/重.png
杆,gān,2,1,杆子的杆,"杆子,旗杆,秤杆",/static/images/杆.png
秤,chèng,2,1,秤砣的秤,"秤,秤砣,秤盘",/static/images/秤.png
砍,kǎn,2,1,砍伐的砍,"砍伐,砍树,砍价",/static/images/砍.png
线,xiàn,2,1,直线的线,"线,直线,电线",/static/images/线.png
止,zhǐ,2,1,停止的止,"停止,止步,止住",/static/images/止.png
量,liàng,2,1,重量的量,"量,重量,分量",/static/images/量.png
玲,líng,2,1,玲珑的玲,玲珑,/static/images/玲.png
详,xiáng,2,1,详细的详,"详细,详尽,详谈",/static/images/详.png
幅,fú,2,1,幅面的幅,"幅面,幅度,幅员",/static/images/幅.png
评,píng,2,1,评价的评,"评价,评比,评论",/static/images/评.png
奖,jiǎng,2,1,奖励的奖,"奖励,奖品,奖状",/static/images/奖.png
催,cuī,2,1,催促的催,"催促,催问,催款",/static/images/催.png
啪,pā,2,1,啪的的啪,"啪的,啪啪",/static/images/啪.png
脏,zàng,2,1,弄脏的脏,"脏,弄脏,脏水",/static/images/脏.png
报,bào,2,1,报纸的报,"报纸,报告,报名",/static/images/报.png
另,lìng,2,1,另外的另,"另外,另行,另类",/static/images/另.png
及,jí,2,1,及时的及,"及时,以及,及格",/static/images/及.png
懒,lǎn,2,1,懒惰的懒,"懒惰,懒散,懒人",/static/images/懒.png
并,bìng,2,1,并列的并,"并列,并且,并且",/static/images/并.png
糟,zāo,2,1,糟糕的糟,"糟糕,糟粕,糟蹋",/static/images/糟.png
肯,kěn,2,1,肯定的肯,"肯定,肯定地,肯干",/static/images/肯.png
封,fēng,2,1,封面的封,"封面,封锁,封条",/static/images/封.png
削,xuē,2,1,削皮的削,"削皮,削铅笔,削苹果",/static/images/削.png
锅,guō,2,1,铁锅的锅,"锅,铁锅,火锅",/static/images/锅.png
刮,guā,2,1,刮风的刮,"刮风,刮目,刮胡子",/static/images/刮.png
胡,hú,2,1,胡子的胡,"胡子,胡说",/static/images/胡.png
修,xiū,2,1,修理的修,"修理,修改,修建",/static/images/修.png
冷,lěng,2,1,寒冷的冷,"冷,寒冷,冷水",/static/images/冷.png
肩,jiān,2,1,肩膀的肩,"肩膀,肩章,肩部",/static/images/肩.png
团,tuán,2,1,团结的团,"团结,团员,团圆",/static/images/团.png
完,wán,2,1,完美的完,"完美,完成,完好",/static/images/完.png
期,qī,2,1,期待的期,"期待,期中,期许",/static/images/期.png
束,shù,2,1,束带的束,"束带,束缚,束手无策",/static/images/束.png
鲜,xiān,2,1,新鲜的鲜,"新鲜,鲜红,鲜为人知",/static/images/鲜.png
哄,hǒng,2,1,哄笑的哄,"哄笑,哄骗,哄抬",/static/images/哄.png
先,xiān,2,1,先进的先,"先进,先生,先走",/static/images/先.png
梦,mèng,2,1,梦想的梦,"梦想,做梦,梦幻",/static/images/梦.png
闭,bì,2,1,闭眼的闭,"闭眼,关闭,闭嘴",/static/images/闭.png
紧,jǐn,2,1,紧张的紧,"紧张,紧凑,抓紧",/static/images/紧.png
润,rùn,2,1,润泽的润,"润泽,滋润,润色",/static/images/润.png
等,děng,2,1,等待的等,"等待,等等,等一下",/static/images/等.png
吸,xī,2,1,吸水的吸,"吸水,吸取,吸收",/static/images/吸.png
粘,zhān,2,1,粘土的粘,"粘土,粘贴,粘合",/static/images/粘.png
汗,hàn,2,1,汗水的汗,"汗水,流汗,汗珠",/static/images/汗.png
额,é,2,1,额头的额,"额头,额角,额部",/static/images/额.png
沙,shā,2,1,沙子的沙,"沙子,沙滩,沙粒",/static/images/沙.png
乏,fá,2,1,乏力的乏,"乏力,缺乏,乏味",/static/images/乏.png
楼,lóu,2,1,高楼的楼,"楼,高楼,楼梯",/static/images/楼.png
依,yī,2,1,依恋的依,"依恋,依赖,依据",/static/images/依.png
尽,jǐn,2,1,尽力的尽,"尽力,尽头,尽情",/static/images/尽.png
欲,yù,2,1,欲望的欲,"欲望,欲望心,欲望强烈",/static/images/欲.png
穷,qióng,2,1,贫穷的穷,"穷,贫穷,穷困",/static/images/穷.png
层,céng,2,1,楼层的层,"楼层,层次,层层叠叠",/static/images/层.png
瀑,pù,2,1,瀑布的瀑,"瀑布,山瀑,瀑布群",/static/images/瀑.png
布,bù,2,1,布置的布,"布,布置,布满",/static/images/布.png
炉,lú,2,1,炉子的炉,"炉子,火炉,炉火",/static/images/炉.png
烟,yān,2,1,香烟的烟,"烟,香烟,烟雾",/static/images/烟.png
遥,yáo,2,1,遥远的遥,"遥远,遥控,遥望",/static/images/遥.png
川,chuān,2,1,山川的川,"江川,山川",/static/images/川.png
闻,wén,2,1,闻名的闻,"闻名,新闻,闻名遐迩",/static/images/闻.png
名,míng,2,1,名字的名,"名字,姓名,名气",/static/images/名.png
景,jǐng,2,1,景色的景,"景色,风景,景观",/static/images/景.png
区,qū,2,1,小区的区,"小区,区域,区别",/static/images/区.png
省,shěng,2,1,省城的省,"省城,节省,省会",/static/images/省.png
部,bù,2,1,部分的部,"部分,部件,部位",/static/images/部.png
秀,xiù,2,1,秀气的秀,"秀气,秀丽,优秀",/static/images/秀.png
尤,yóu,2,1,尤其的尤,"尤其,尤其",/static/images/尤.png
其,qí,2,1,其乐无穷的其,"其乐无穷,其中,其实",/static/images/其.png
仙,xiān,2,1,仙人的仙,"仙人,仙境,仙子",/static/images/仙.png
巨,jù,2,1,巨大的巨,"巨大,巨人,巨兽",/static/images/巨.png
位,wèi,2,1,座位的位,"座位,位置,座位",/static/images/位.png
著,zhù,2,1,著名的著,"著名,著作,著称",/static/images/著.png
形,xíng,2,1,形状的形,"形状,形式,形态",/static/images/形.png
状,zhuàng,2,1,形状的状,"形状,状况,状况",/static/images/状.png
潭,tán,2,1,潭水的潭,"潭水,深潭,潭面",/static/images/潭.png
湾,wān,2,1,海湾的湾,"海湾,台湾,弯湾",/static/images/湾.png
湖,hú,2,1,湖水的湖,"湖水,湖泊,湖水清澈",/static/images/湖.png
绕,rào,2,1,绕圈的绕,"绕圈,绕道,绕远",/static/images/绕.png
茂,mào,2,1,茂密的茂,"茂密,茂盛,茂林",/static/images/茂.png
盛,shèng,2,1,盛开的盛,"盛开,盛饭,盛情",/static/images/盛.png
围,wéi,2,1,围城的围,"围城,围绕,包围",/static/images/围.png
胜,shèng,2,1,胜利的胜,"胜利,胜任,胜利的",/static/images/胜.png
央,yāng,2,1,中央的央,"中央,央求,央告",/static/images/央.png
岛,dǎo,2,1,岛屿的岛,"岛屿,海岛,岛国",/static/images/岛.png
纱,shā,2,1,纱巾的纱,"纱巾,窗纱",/static/images/纱.png
童,tóng,2,1,童年的童,"童年,儿童,童话",/static/images/童.png
境,jìng,2,1,环境的境,"环境,境界,境外",/static/images/境.png
引,yǐn,2,1,引导的引,"引,引导,引申",/static/images/引.png
客,kè,2,1,客人的客,"客人,旅客,顾客",/static/images/客.png
沟,gōu,2,1,小沟的沟,"小沟,水沟,山沟",/static/images/沟.png
产,chǎn,2,1,生产的产,"生产,产品,产房",/static/images/产.png
份,fèn,2,1,份量的份,"份量,份额,份内",/static/images/份.png
枝,zhī,2,1,树枝的枝,"树枝,枝条,枝叶",/static/images/枝.png
搭,dā,2,1,搭桥的搭,"搭桥,搭建,搭讪",/static/images/搭.png
淡,dàn,2,1,淡水的淡,"淡水,淡化,淡泊",/static/images/淡.png
够,gòu,2,1,够用的够,"够用,足够,够本",/static/images/够.png
收,shōu,2,1,收好的收,"收好,收起,收音",/static/images/收.png
城,chéng,2,1,城市的城,"城市,城墙,城门",/static/images/城.png
市,shì,2,1,市场的市,"市场,城市,闹市",/static/images/市.png
留,liú,2,1,留下的留,"留下,留学,留心",/static/images/留.png
钉,dīng,2,1,钉子的钉,"钉子,钉书机,钉扣子",/static/images/钉.png
利,lì,2,1,利益的利,"利益,利用,利用",/static/images/利.png
味,wèi,2,1,味道的味,"味道,美味,味道好",/static/images/味.png
沿,yán,2,1,沿路的沿,"沿路,沿途,沿线",/static/images/沿.png
答,dá,2,1,答案的答,"答案,答应,回答",/static/images/答.png
渴,kě,2,1,口渴的渴,"口渴,渴望,干渴",/static/images/渴.png
喝,hē,2,1,喝水的喝,"喝水,喝彩,喝茶",/static/images/喝.png
话,huà,2,1,说话的话,"说话,话题,话语",/static/images/话.png
弄,nòng,2,1,弄堂的弄,"弄堂,弄懂",/static/images/弄.png
错,cuò,2,1,错题的错,"错题,出错,错误",/static/images/错.png
际,jì,2,1,国际的际,"国际,交际,际遇",/static/images/际.png
抬,tái,2,1,抬头的抬,"抬头,抬手,抬脚",/static/images/抬.png
堵,dǔ,2,1,堵车的堵,"堵车,堵塞,堵住",/static/images/堵.png
缝,fèng,2,1,缝补的缝,"缝补,缝隙,缝纫",/static/images/缝.png
鹊,què,2,1,喜鹊的鹊,"喜鹊,鹊桥,鹊巢",/static/images/鹊.png
朗,lǎng,2,1,朗读的朗,"朗朗,朗读,明朗",/static/images/朗.png
衔,xián,2,1,衔接的衔,"衔接,衔接处,衔接点",/static/images/衔.png
枯,kū,2,1,枯萎的枯,"枯萎,枯草,枯木",/static/images/枯.png
劝,quàn,2,1,劝说的劝,"劝说,劝告,劝诱",/static/images/劝.png
趁,chèn,2,1,趁早的趁,"趁早,趁机,趁热",/static/images/趁.png
将,jiāng,2,1,将军的将,"将军,将领,将来",/static/images/将.png
且,qiě,2,1,并且的且,"且且,并且,而且",/static/images/且.png
腊,là,2,1,腊八粥的腊,"腊八粥,腊肉,腊肠",/static/images/腊.png
狂,kuáng,2,1,狂喜的狂,"狂喜,狂奔,狂风",/static/images/狂.png
吼,hǒu,2,1,吼叫的吼,"吼叫,吼声,吼叫声",/static/images/吼.png
复,fù,2,1,复习的复,"复习,复杂,重复",/static/images/复.png
哀,āi,2,1,哀伤的哀,"哀伤,悲哀,哀求",/static/images/哀.png
葫,hú,2,1,葫芦的葫,"葫芦,葫芦娃,葫芦丝",/static/images/葫.png
芦,lú,2,1,芦苇的芦,"芦苇,芦笋,芦荟",/static/images/芦.png
藤,téng,2,1,藤条的藤,"藤条,藤萝,藤本",/static/images/藤.png
谢,xiè,2,1,感谢的谢,"谢谢,感谢,谢意",/static/images/谢.png
蚜,yá,2,1,蚜虫的蚜,"蚜虫,蚜子,蚜虫病",/static/images/蚜.png
盯,dīng,2,1,盯着的盯,"盯着,盯梢,盯紧",/static/images/盯.png
赛,sài,2,1,比赛的赛,"比赛,竞赛,赛车",/static/images/赛.png
感,gǎn,2,1,感动的感,"感动,感谢,感想",/static/images/感.png
怪,guài,2,1,奇怪的怪,"奇怪,怪异,怪癖",/static/images/怪.png
慢,màn,2,1,缓慢的慢,"慢,慢慢,缓慢",/static/images/慢.png
洪,hóng,2,1,洪水的洪,"洪水,洪亮,洪福",/static/images/洪.png
毒,dú,2,1,毒药的毒,"毒药,毒品,中毒",/static/images/毒.png
蛇,shé,2,1,蛇皮的蛇,"蛇,蛇皮,蛇信子",/static/images/蛇.png
兽,shòu,2,1,野兽的兽,"野兽,野兽园",/static/images/兽.png
伤,shāng,2,1,伤害的伤,"伤害,伤心,受伤",/static/images/伤.png
灾,zāi,2,1,灾害的灾,"灾害,灾难,水灾",/static/images/灾.png
难,nán,2,1,困难的难,"困难,难题,难关",/static/images/难.png
仍,réng,2,1,仍然的仍,"仍然,仍旧",/static/images/仍.png
退,tuì,2,1,退步的退,"退步,退让,退学",/static/images/退.png
继,jì,2,1,继续的继,"继续,继承,继续者",/static/images/继.png
续,xù,2,1,续写的续,"续写,继续,连续",/static/images/续.png
认,rèn,2,1,认识的认,"认识,认真,认字",/static/images/认.png
训,xùn,2,1,训练的训,"训练,教训,训斥",/static/images/训.png
被,bèi,2,1,被子的被,"被子,被单,被褥",/static/images/被.png
恢,huī,2,1,恢复的恢,"恢复,恢弘,恢宏",/static/images/恢.png
朱,zhū,2,1,朱红的朱,"朱红,朱砂",/static/images/朱.png
德,dé,2,1,品德的德,"品德,道德,德才",/static/images/德.png
扁,biǎn,2,1,扁豆的扁,"扁豆,扁舟,扁担",/static/images/扁.png
担,dān,2,1,担心的担,"担心,担当,担子",/static/images/担.png
志,zhì,2,1,志气的志,"志气,志愿,志同道合",/static/images/志.png
伍,wǔ,2,1,伍人的伍,"伍人,伍长,伍佰",/static/images/伍.png
泽,zé,2,1,泽水的泽,"泽水,沼泽,润泽",/static/images/泽.png
敌,dí,2,1,敌人的敌,"敌人,敌意,敌对",/static/images/敌.png
陡,dǒu,2,1,陡峭的陡,"陡峭,陡然,陡坡",/static/images/陡.png
争,zhēng,2,1,争抢的争,"争抢,争论,争斗",/static/images/争.png
仗,zhàng,2,1,仗义的仗,"仗义,打仗,仗势",/static/images/仗.png
疼,téng,2,1,疼痛的疼,"疼痛,头疼,心疼",/static/images/疼.png
料,liào,2,1,材料的料,"材料,调料",/static/images/料.png
敬,jìng,2,1,敬爱的敬,"敬爱,尊敬,敬礼",/static/images/敬.png
泼,pō,2,1,泼水的泼,"泼水,泼辣,泼墨",/static/images/泼.png
族,zú,2,1,民族的族,"民族,家族,族群",/static/images/族.png
民,mín,2,1,民族的民,"民族,人民,民主",/static/images/民.png
度,dù,2,1,温度的度,"温度,度过,度假",/static/images/度.png
敲,qiāo,2,1,敲门的敲,"敲门,敲打,敲击",/static/images/敲.png
龙,lóng,2,1,龙舟的龙,"龙,龙舟,龙卷风",/static/images/龙.png
驶,shǐ,2,1,驾驶的驶,"驾驶,驶入,驶出",/static/images/驶.png
容,róng,2,1,容器的容,"容器,容易,容忍",/static/images/容.png
踩,cǎi,2,1,踩踏的踩,"踩踏,踩坏,踩住",/static/images/踩.png
铺,pù,2,1,铺路的铺,"铺路,床铺,铺设",/static/images/铺.png
碗,wǎn,2,1,饭碗的碗,"碗,饭碗,洗碗",/static/images/碗.png
祝,zhù,2,1,祝福的祝,"祝福,祝贺,祝愿",/static/images/祝.png
福,fú,2,1,福气的福,"福气,祝福,福分",/static/images/福.png
健,jiàn,2,1,健康的健,"健康,健壮,健全",/static/images/健.png
康,kāng,2,1,健康的康,"健康,康复,康乐",/static/images/康.png
寿,shòu,2,1,长寿的寿,"长寿,寿星,寿终",/static/images/寿.png
宿,sù,2,1,宿舍的宿,"宿舍,住宿,宿命",/static/images/宿.png
寺,sì,2,1,寺庙的寺,"寺庙,寺院,佛寺",/static/images/寺.png
危,wēi,2,1,危险的危,"危险,危急,危难",/static/images/危.png
辰,chén,2,1,辰星的辰,"辰星,星辰,晨辰",/static/images/辰.png
恐,kǒng,2,1,恐惧的恐,"恐惧,恐怕,恐吓",/static/images/恐.png
惊,jīng,2,1,惊奇的惊,"惊奇,惊讶,惊吓",/static/images/惊.png
似,shì,2,1,似的的似,"似的,似乎,似的",/static/images/似.png
庐,lú,2,1,庐山的庐,"庐山,庐舍,庐墓",/static/images/庐.png
笼,lóng,2,1,笼子的笼,"笼子,笼罩,笼统",/static/images/笼.png
盖,gài,2,1,盖子的盖,"盖子,覆盖,掩盖",/static/images/盖.png
苍,cāng,2,1,苍天的苍,"苍天,苍蝇,苍白",/static/images/苍.png
茫,máng,2,1,迷茫的茫,"茫茫,迷茫,茫然",/static/images/茫.png
雾,wù,2,1,雾气的雾,"雾,雾气,雾凇",/static/images/雾.png
淘,táo,2,1,淘气的淘,"淘气,淘米,淘金",/static/images/淘.png
于,yú,2,1,于是的于,"于是,于是,于是",/static/images/于.png
暗,àn,2,1,黑暗的暗,"黑暗,暗号,暗藏",/static/images/暗.png
岸,àn,2,1,河岸的岸,"河岸,岸边,海岸",/static/images/岸.png
街,jiē,2,1,街道的街,"街道,街灯,逛街",/static/images/街.png
梁,liáng,2,1,桥梁的梁,"桥梁,栋梁,梁上",/static/images/梁.png
甚,shèn,2,1,甚至,甚至,/static/images/甚.png
至,zhì,2,1,至亲的至,"至亲,至于,至诚",/static/images/至.png
切,qiè,2,1,切菜的切,"切菜,切片,切水果",/static/images/切.png
躲,duǒ,2,1,躲藏的躲,"躲藏,躲闪,躲开",/static/images/躲.png
失,shī,2,1,失落的失,"失落,失误,失踪",/static/images/失.png
累,lèi,2,1,累赘的累,"累,累赘,劳累",/static/images/累.png
添,tiān,2,1,添水的添,"添水,添加,增添",/static/images/添.png
柴,chái,2,1,柴火的柴,"柴火,柴草,柴堆",/static/images/柴.png
烧,shāo,2,1,烧菜的烧,"烧菜,发烧,烧毁",/static/images/烧.png
旺,wàng,2,1,旺财的旺,"旺财,旺盛,旺角",/static/images/旺.png
渐,jiàn,2,1,渐进的渐,"渐渐,渐进,渐变",/static/images/渐.png
哎,āi,2,1,哎声的哎,"哎声,哎呀,哎哟",/static/images/哎.png
冒,mào,2,1,冒雨的冒,"冒雨,冒烟,冒火",/static/images/冒.png
烫,tàng,2,1,烫水的烫,"烫,烫水,烫伤",/static/images/烫.png
终,zhōng,2,1,终点的终,"终点,终于,终究",/static/images/终.png
浑,hún,2,1,浑水的浑,"浑水,浑浊,浑然",/static/images/浑.png
淋,lín,2,1,淋雨的淋,"淋雨,淋浴,淋漓",/static/images/淋.png
灭,miè,2,1,灭火的灭,"灭火,熄灭,灭绝",/static/images/灭.png
激,jī,2,1,激动的激,"激动,激发,激励",/static/images/激.png
假,jiǎ,2,1,假山的假,"假山,假期,假装",/static/images/假.png
威,wēi,2,1,威风的威,"威风,威力,威严",/static/images/威.png
扯,chě,2,1,拉扯的扯,"扯,拉扯,扯淡",/static/images/扯.png
嗓,sǎng,2,1,嗓音的嗓,"嗓音,嗓子痛,嗓门",/static/images/嗓.png
派,pài,2,1,派对的派,"派对,派遣,派发",/static/images/派.png
违,wéi,2,1,违规的违,"违规,违反,违抗",/static/images/违.png
抗,kàng,2,1,抵抗的抗,"抵抗,抗战,抗争",/static/images/抗.png
爪,zhǎo,2,1,爪子的爪,"爪子,爪牙,爪子虫",/static/images/爪.png
趟,tàng,2,1,趟过的趟,"趟过,趟数,趟趟",/static/images/趟.png
神,shén,2,1,神奇的神,"神奇,神仙,神气",/static/images/神.png
猪,zhū,2,1,小猪的猪,"猪,小猪,野猪",/static/images/猪.png
纳,nà,2,1,纳闷的纳,"纳闷,纳凉,纳福",/static/images/纳.png
受,shòu,2,1,受用的受,"受用,感受,接受",/static/images/受.png
骗,piàn,2,1,骗人的骗,"骗人,骗局,诈骗",/static/images/骗.png
借,jiè,2,1,借给的借,"借,借给,借钱",/static/images/借.png
酪,lào,2,1,奶酪的酪,"奶酪,乳酪",/static/images/酪.png
捡,jiǎn,2,1,捡到的捡,"捡到,捡拾,捡起",/static/images/捡.png
俩,liǎ,2,1,俩人的俩,"俩人,俩个,俩边",/static/images/俩.png
始,shǐ,2,1,开始的始,"开始,起始,起始点",/static/images/始.png
拌,bàn,2,1,搅拌的拌,"拌,搅拌,拌面",/static/images/拌.png
帮,bāng,2,1,帮助的帮,"帮助,帮忙,帮手",/static/images/帮.png
匀,yún,2,1,均匀的匀,"均匀,匀速,匀称",/static/images/匀.png
嚷,rǎng,2,1,嚷叫的嚷,"嚷叫,叫嚷,嚷嚷",/static/images/嚷.png
瞧,qiáo,2,1,瞧见的瞧,"瞧见,瞧瞧,瞧不起",/static/images/瞧.png
便,biàn,2,1,方便的便,"方便,便利,便捷",/static/images/便.png
剩,shèng,2,1,剩下的剩,"剩下,剩余,剩菜",/static/images/剩.png
整,zhěng,2,1,整齐的整,"整齐,整体,完整",/static/images/整.png
筝,zhēng,2,1,风筝的筝,"筝,风筝,古筝",/static/images/筝.png
鼠,shǔ,2,1,鼠年的鼠,"鼠年,老鼠,鼠疫",/static/images/鼠.png
折,zhé,2,1,折断的折,"折断,折纸,折扇",/static/images/折.png
漂,piāo,2,1,漂白的漂,"漂白,漂亮,漂浮",/static/images/漂.png
扎,zhā,2,1,扎堆的扎,"扎堆,扎针,扎实",/static/images/扎.png
抓,zhuā,2,1,抓住的抓,"抓住,抓紧,抓起",/static/images/抓.png
幸,xìng,2,1,幸福的幸,"幸福,幸运,幸事",/static/images/幸.png
但,dàn,2,1,但是的但,"但是,但是不",/static/images/但.png
愿,yuàn,2,1,愿望的愿,"愿望,愿意,心愿",/static/images/愿.png
哭,kū,2,1,哭泣的哭,"哭,哭泣,哭闹",/static/images/哭.png
取,qǔ,2,1,取得的取,"取,取得,取走",/static/images/取.png
助,zhù,2,1,帮助的助,"帮助,助手,助理",/static/images/助.png
抽,chōu,2,1,抽水的抽,"抽水,抽出,抽签",/static/images/抽.png
使,shǐ,2,1,使用的使,"使用,使者,使命",/static/images/使.png
劲,jìn,2,1,使劲的劲,"劲,使劲,劲头",/static/images/劲.png
哗,huā,2,1,哗啦的哗,"哗啦,哗啦声,哗啦哗啦",/static/images/哗.png
秧,yāng,2,1,秧苗的秧,"秧苗,插秧,秧歌",/static/images/秧.png
拉,lā,2,1,拉车的拉,"拉,拉车,拉扯",/static/images/拉.png
表,biǎo,2,1,表格的表,"表格,表现,表面",/static/images/表.png
示,shì,2,1,示意的示,"示意,表示,展示",/static/images/示.png
摆,bǎi,2,1,摆动的摆,"摆动,摆放,摆设",/static/images/摆.png
翻,fān,2,1,翻开的翻,"翻开,翻身,翻滚",/static/images/翻.png
栽,zāi,2,1,栽种的栽,"栽种,栽植,栽种树",/static/images/栽.png
责,zé,2,1,责任的责,"责任,负责,责备",/static/images/责.png
弹,dàn,2,1,弹跳的弹,"弹跳,弹力,弹琴",/static/images/弹.png
钢,gāng,2,1,钢笔的钢,"钢笔,钢铁,钢材",/static/images/钢.png
琴,qín,2,1,古琴的琴,"古琴,钢琴,琴弦",/static/images/琴.png
捏,niē,2,1,捏住的捏,"捏,捏住,捏造",/static/images/捏.png
泥,ní,2,1,泥巴的泥,"泥巴,泥土,水泥",/static/images/泥.png
滚,gǔn,2,1,滚动的滚,"滚动,滚动条,滚烫",/static/images/滚.png
铁,tiě,2,1,铁锅的铁,"铁,铁锅,铁链",/static/images/铁.png
环,huán,2,1,环绕的环,"环,环绕,环境",/static/images/环.png
荡,dàng,2,1,荡漾的荡,"荡漾,飘荡,荡秋千",/static/images/荡.png
滑,huá,2,1,滑冰的滑,"滑冰,滑雪,滑梯",/static/images/滑.png
梯,tī,2,1,梯子的梯,"梯子,楼梯,梯田",/static/images/梯.png
昌,chāng,2,1,昌盛的昌,"昌盛,昌明,昌盛",/static/images/昌.png
调,diào,2,1,调整的调,"调,调整,调动",/static/images/调.png
硬,yìng,2,1,硬朗的硬,"硬朗,坚硬,硬度",/static/images/硬.png
卧,wò,2,1,卧床的卧,"卧床,卧室,卧铺",/static/images/卧.png
限,xiàn,2,1,限制的限,"限制,限时,权限",/static/images/限.png
乘,chéng,2,1,乘法的乘,"乘法,乘坐,乘机",/static/images/乘.png
售,shòu,2,1,售货的售,"售货,销售,出售",/static/images/售.png
锋,fēng,2,1,锋利的锋,"锋利,锋芒,锋刃",/static/images/锋.png
蜜,mì,2,1,蜜糖的蜜,"蜜糖,蜜蜂,甜蜜",/static/images/蜜.png
蜂,fēng,2,1,蜜蜂的蜂,"蜜蜂,蜂箱,蜂蜜",/static/images/蜂.png
幕,mù,2,1,幕布的幕,"幕布,屏幕,幕后",/static/images/幕.png
扫,sǎo,2,1,扫地的扫,"扫地,扫除,扫帚",/static/images/扫.png
墓,mù,2,1,墓地的墓,"墓地,坟墓,墓碑",/static/images/墓.png
慕,mù,2,1,羡慕的慕,"羡慕,慕名,倾慕",/static/images/慕.png
抄,chāo,2,1,抄写的抄,"抄写,抄袭,抄录",/static/images/抄.png
炒,chǎo,2,1,炒菜的炒,"炒菜,炒饭,炒豆芽",/static/images/炒.png
轿,jiào,2,1,轿车的轿,"轿车,轿夫,轿子",/static/images/轿.png
救,jiù,2,1,救人的救,"救人,救命,救护",/static/images/救.png
摩,mó,2,1,摩天的摩,"摩天,摩擦,摩托",/static/images/摩.png
托,tuō,2,1,托起的托,"托起,托盘,托运",/static/images/托.png
防,fáng,2,1,防备的防,"防备,防止,防护",/static/images/防.png
渔,yú,2,1,渔船的渔,"渔船,渔民,渔网",/static/images/渔.png
货,huò,2,1,货物的货,"货物,货品,货船",/static/images/货.png
油,yóu,2,1,油水的油,"油水,汽油,油腻",/static/images/油.png
轮,lún,2,1,轮子的轮,"轮子,车轮,轮胎",/static/images/轮.png
科,kē,2,1,科学的科,"科学,科目,科技",/static/images/科.png
考,kǎo,2,1,考试的考,"考试,考验,考查",/static/images/考.png
滩,tān,2,1,沙滩的滩,"沙滩,河滩,海滩",/static/images/滩.png
椰,yē,2,1,椰子的椰,"椰子,椰树,椰汁",/static/images/椰.png
壳,ké,2,1,蛋壳的壳,"蛋壳,贝壳,龟壳",/static/images/壳.png
漠,mò,2,1,沙漠的漠,"沙漠,冷漠,漠然",/static/images/漠.png
骆,luò,2,1,骆驼的骆,"骆驼,骆马,骆峰",/static/images/骆.png
驼,tuó,2,1,骆驼的驼,"骆驼,驼鸟,驼峰",/static/images/驼.png
骏,jùn,2,1,骏马的骏,"骏马,骏逸,骏足",/static/images/骏.png
悬,xuán,2,1,悬挂的悬,"悬挂,悬崖,悬念",/static/images/悬.png
崖,yá,2,1,山崖的崖,"山崖,悬崖,断崖",/static/images/崖.png
狼,láng,2,1,狼狗的狼,"狼,狼狗,狼烟",/static/images/狼.png
猩,xīng,2,1,大猩猩的猩,"猩猩,猩猩王,猩猩球",/static/images/猩.png
